%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1509044729718659593,0,1509044729728580340,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729721120261,0,1509044729731019656,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729728434918,0,1509044729738288005,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729728734999,0,1509044729738647507,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729731183275,0,1509044729741090433,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729738492767,0,1509044729748362002,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729739145609,0,1509044729748816543,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729741273115,0,1509044729751160365,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729749108903,0,1509044729758739080,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729753863158,0,1509044729763743056,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729753926114,0,1509044729763839121,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729755405442,0,1509044729743472000,/map,/base_link,-5.07499265671,15.0006361008,-0.0895023345947,-0.0390619346676,0.0555320857294,0.0437021139941,0.996734908562
1509044729758951644,0,1509044729768809822,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729764198400,0,1509044729773867629,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729764240655,0,1509044729773925984,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729770830230,0,1509044729778880665,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729774284034,0,1509044729783998776,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729774309673,0,1509044729783937265,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729779420068,0,1509044729789131947,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729784234076,0,1509044729794066809,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729784240970,0,1509044729794007826,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729789792448,0,1509044729799202192,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729794364633,0,1509044729804075232,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729794373349,0,1509044729804246180,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729799378941,0,1509044729809272716,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729804263493,0,1509044729814146134,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729804408415,0,1509044729814315883,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729810472915,0,1509044729819718925,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729814581690,0,1509044729824384757,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729814589229,0,1509044729824218111,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729819964097,0,1509044729829808279,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729824465022,0,1509044729834291721,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729824580421,0,1509044729834454744,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729830085316,0,1509044729839880887,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729834669418,0,1509044729844529424,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729834688931,0,1509044729844364509,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729840125798,0,1509044729849958894,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729844670171,0,1509044729854516715,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729844844965,0,1509044729854755223,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729850177813,0,1509044729860034125,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729859181806,0,1509044729865355938,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729860244525,0,1509044729870154082,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729861946002,0,1509044729865418485,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729861981818,0,1509044729848319000,/map,/base_link,-5.08168983459,14.995388031,-0.0919251441956,-0.0391718960694,0.0555495803785,0.0434201693654,0.996741940309
1509044729865563962,0,1509044729875430899,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729865668428,0,1509044729875501830,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729870407727,0,1509044729880226856,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729875990312,0,1509044729885603211,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729875994737,0,1509044729885525805,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729881877629,0,1509044729890299259,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729885842372,0,1509044729895603252,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729885851311,0,1509044729895675085,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729890839032,0,1509044729900542553,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729895841483,0,1509044729905679538,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729895887105,0,1509044729905748157,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729902381647,0,1509044729910617301,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729905970762,0,1509044729915819938,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729906062714,0,1509044729915745950,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729910916232,0,1509044729920676184,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729916136493,0,1509044729925892403,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729916141023,0,1509044729925825883,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729920879314,0,1509044729930752741,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729926120017,0,1509044729935877597,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729926195252,0,1509044729935964120,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729934210907,0,1509044729940832504,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729936342242,0,1509044729946038928,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729936369209,0,1509044729945956387,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729941797128,0,1509044729950914070,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729946180825,0,1509044729956030433,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729946256686,0,1509044729956111448,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729951098906,0,1509044729960986279,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729956267732,0,1509044729966159213,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729956573496,0,1509044729966183437,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729961182123,0,1509044729971062179,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729966490837,0,1509044729976255604,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729966497152,0,1509044729976235199,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729970525012,0,1509044729953159000,/map,/base_link,-5.08547687531,15.0043334961,-0.0839691162109,-0.038706166218,0.0556661090764,0.0434406099388,0.996752742863
1509044729971260773,0,1509044729981139494,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729976426623,0,1509044729986308519,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729976498966,0,1509044729986329558,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729981374151,0,1509044729991212299,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729986539639,0,1509044729996401736,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729986800950,0,1509044729996694968,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044729991454907,0,1509044730001286971,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044729996602655,0,1509044730006476590,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044729996862188,0,1509044730006767529,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730001552586,0,1509044730011361541,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730006693611,0,1509044730016605024,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730006941600,0,1509044730016836134,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730012141956,0,1509044730021437168,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730016772166,0,1509044730026679203,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730016989466,0,1509044730026906308,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730021656202,0,1509044730031512709,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730026873924,0,1509044730036751872,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730027061833,0,1509044730036975381,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730031705816,0,1509044730041586754,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730036916377,0,1509044730046825845,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730037128845,0,1509044730047044135,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730041992301,0,1509044730051658981,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730047023427,0,1509044730056898558,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730047386489,0,1509044730057113413,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730051826264,0,1509044730061732326,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730057130839,0,1509044730066970652,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730057291458,0,1509044730067180222,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730067374819,0,1509044730077041708,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730067388576,0,1509044730071803532,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730067617458,0,1509044730077352999,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730070397692,0,1509044730057999000,/map,/base_link,-5.0808596611,15.0132465363,-0.0830813646317,-0.0385237780373,0.0560625544159,0.0436547302572,0.996728234297
1509044730071957407,0,1509044730081875237,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730078703559,0,1509044730087115986,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730078718208,0,1509044730088338634,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730082321764,0,1509044730091944323,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730087304810,0,1509044730097187913,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730088503797,0,1509044730098407413,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730092097726,0,1509044730102014297,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730097346076,0,1509044730107258037,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730098758527,0,1509044730108475212,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730102215444,0,1509044730112082842,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730107483108,0,1509044730117329608,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730108984794,0,1509044730118544929,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730112247487,0,1509044730122154227,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730117503457,0,1509044730127404391,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730118715344,0,1509044730128613145,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730122346665,0,1509044730132223628,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730127571766,0,1509044730137474622,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730128759014,0,1509044730138680220,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730132847657,0,1509044730142294892,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730137664024,0,1509044730147544950,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730138846887,0,1509044730148746302,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1509044730142479517,0,1509044730152366410,base_link,velodyne,1.9,0.0,1.6,0.0,0.0,0.0,1.0
1509044730148012880,0,1509044730157613697,velodyne,camera,0.710706008953,-0.0233497393934,-0.318154357045,-0.466762758929,0.456634726636,-0.532385867558,0.538685939423
1509044730148930534,0,1509044730158812744,/world,/map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
