%time,field.data
1509044729652200795,-9.41151809692
1509044729755747875,-9.98394584656
1509044729862231824,-9.96518802643
1509044729970636916,-8.31630039215
1509044730070509235,-9.58107089996
1509044730173994698,-9.32362365723
1509044730276197839,-10.3635816574
1509044730382117903,-10.8317937851
1509044730489110440,-7.56501150131
1509044730591174808,-6.95031547546
1509044730698498330,-6.90124750137
1509044730802654114,-10.4610843658
1509044730905161837,-11.3639364243
1509044731009800271,-11.1928720474
1509044731115604548,-11.1829824448
1509044731219367958,-10.5584259033
1509044731327704281,-10.1448535919
1509044731428577284,-11.4456586838
1509044731534090722,-11.4064712524
1509044731643473452,-8.97699165344
1509044731745760071,-8.93424224854
1509044731852100361,-8.51992321014
1509044731955393457,-9.68035316467
1509044732060998591,-9.11466598511
1509044732167011495,-9.65087509155
1509044732269307643,-6.00084066391
1509044732372510656,-10.6706428528
1509044732479678456,-6.50034570694
1509044732584230590,-9.64479923248
1509044732687107177,-9.77597332001
1509044732793678567,-6.29695224762
1509044732898479953,-5.42873573303
1509044733006256940,-5.37639808655
1509044733106879601,-10.9768619537
1509044733211513189,-10.3276281357
1509044733317202743,-11.218173027
1509044733426816055,-9.712059021
1509044733530955395,-5.52359056473
1509044733633042614,-6.33944892883
1509044733738459947,-9.16701316833
1509044733840456323,-10.7813243866
1509044733948414302,-6.33380699158
1509044734055526433,-6.54070615768
1509044734156163261,-7.13819980621
1509044734262589756,-7.60359764099
1509044734366488156,-8.02503681183
1509044734469933214,-12.5854558945
1509044734575739750,-12.2367753983
1509044734682263069,-11.2109699249
1509044734789078160,-9.30292701721
1509044734892529291,-8.428814888
1509044734998817550,-9.8367729187
1509044735100446668,-9.94573020935
1509044735209497021,-6.22902536392
1509044735316265625,-5.81929540634
1509044735415055943,-11.8123140335
1509044735522724278,-8.35543346405
1509044735623445716,-11.9968576431
1509044735728230741,-11.5729637146
1509044735834460696,-11.2945995331
1509044735943342048,-6.4885020256
1509044736043331658,-10.3386678696
1509044736148134787,-11.1155014038
1509044736254299658,-10.5964260101
1509044736357208467,-10.3425292969
1509044736462420425,-11.0214977264
1509044736569536693,-10.3804826736
1509044736672946114,-10.4762649536
1509044736778242899,-10.304441452
1509044736882856057,-10.2927627563
1509044736987868722,-10.5085201263
1509044737092363891,-11.4639797211
1509044737202857608,-6.84329366684
1509044737304424131,-7.97740411758
1509044737406705362,-12.280538559
1509044737513618286,-7.58553600311
1509044737615450565,-11.3968544006
1509044737720368329,-11.8415346146
1509044737828641892,-4.06907892227
1509044737930600840,-11.3824834824
1509044738034878311,-11.7684421539
1509044738139894176,-11.3183546066
1509044738246637413,-11.2831449509
1509044738349460953,-13.3538255692
1509044738459218804,-7.59214878082
1509044738561106679,-8.36113166809
1509044738668374349,-10.9067668915
1509044738769497031,-12.8678321838
1509044738875962674,-8.44130420685
1509044738983616497,-8.04190731049
1509044739085084951,-13.2321577072
1509044739189218961,-12.7402257919
1509044739294351476,-12.5866127014
1509044739401399241,-11.3963565826
1509044739505160910,-8.12953853607
1509044739609515720,-11.0313482285
1509044739718970111,-6.70700502396
1509044739820211167,-11.1531219482
1509044739923260996,-10.6202106476
1509044740029877332,-7.5583782196
1509044740132443533,-12.3323402405
1509044740239288001,-9.04325008392
1509044740346209463,-5.08442592621
1509044740448278274,-11.5294981003
1509044740554000562,-8.09206199646
1509044740658853068,-8.62447738647
1509044740765674453,-7.45883226395
1509044740868764519,-7.49107313156
1509044740972803068,-11.3268594742
1509044741077892508,-7.10575056076
1509044741182442243,-10.4814519882
1509044741285945979,-10.3860988617
1509044741392566991,-10.7309961319
1509044741496211315,-10.7646350861
1509044741606543672,-5.51654052734
1509044741706886450,-6.13421535492
1509044741810277961,-10.7576398849
1509044741917355260,-9.1139087677
1509044742019339738,-10.5543136597
1509044742124797397,-10.6360187531
1509044742267691558,-0.46435791254
1509044742336640556,-9.50741481781
1509044742438946326,-9.79794979095
1509044742543477904,-10.5852594376
1509044742650855414,-10.629617691
1509044742754963607,-7.55092525482
1509044742859996516,-5.7634768486
1509044742963650116,-8.55013751984
1509044743067416540,-7.3384642601
