%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1509044730441091059,1,1509044730278893947,,2,/waypoint_updater,Computed waypoint ahead index 26 is at least 10 more than previous waypoint ahead index 0,waypoint_updater.py,find_next_waypoint,326,/final_waypoints,/debug_current_pose,/rosout,/base_waypoints,/upcoming_light,/current_velocity,/current_pose
1509044730442024989,69,1509044730441841819,,2,/record_1509044729293450473,Subscribing to /image_rect/theora/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730444171852,70,1509044730444106256,,2,/record_1509044729293450473,Subscribing to /vehicle/brake_cmd,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730446552385,71,1509044730446489237,,2,/record_1509044729293450473,Subscribing to /image_proc_rectify_color/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730449009201,72,1509044730448931722,,2,/record_1509044729293450473,Subscribing to /image_rect,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730451460940,73,1509044730451399069,,2,/record_1509044729293450473,Subscribing to /image_color/theora/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730453526492,74,1509044730453479124,,2,/record_1509044729293450473,Subscribing to /camera_info,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730455628203,75,1509044730455571417,,2,/record_1509044729293450473,Subscribing to /image_rect_color,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730457930815,76,1509044730457861784,,2,/record_1509044729293450473,Subscribing to /image_rect_color/theora,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730460075416,77,1509044730459988958,,2,/record_1509044729293450473,Subscribing to /debug_current_pose,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730462422148,78,1509044730462314367,,2,/record_1509044729293450473,Subscribing to /image_proc_rectify_mono/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730463921912,43,1509044730463848447,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730464765483,79,1509044730464530988,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressedDepth,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730467412812,80,1509044730467300190,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressedDepth/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730469862609,81,1509044730469764274,,2,/record_1509044729293450473,Subscribing to /final_waypoints,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730472045967,82,1509044730472000365,,2,/record_1509044729293450473,Subscribing to /image_proc_rectify_color/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730474437788,83,1509044730474383016,,2,/record_1509044729293450473,Subscribing to /image_rect_color/theora/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730476830374,84,1509044730476786302,,2,/record_1509044729293450473,Subscribing to /image_color/theora,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730480374011,85,1509044730480309796,,2,/record_1509044729293450473,Subscribing to /image_rect/compressed,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730483445504,86,1509044730483391853,,2,/record_1509044729293450473,Subscribing to /vehicle/steering_cmd,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
