%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0,field.topics1
1509044729881887520,88879,1509044729863865963,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729897654197,88880,1509044729897204422,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729934301989,88881,1509044729933980694,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729964548062,88882,1509044729963907105,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729997842855,88883,1509044729997209536,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730031079939,88884,1509044730030864404,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730067392383,88885,1509044730063890541,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730097411139,88886,1509044730097196189,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730130983536,88887,1509044730130567432,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730164723650,88888,1509044730163855265,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730197387106,88889,1509044730197207175,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730231352907,88890,1509044730230527884,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730264063664,88891,1509044730263854020,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730297358907,88892,1509044730297188757,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730330750791,88893,1509044730330519273,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730338737763,88894,1509044730121243000,,1,/waypoint_loader,node[/waypoint_loader, http://udacity:34914/] entering spin(), pid[1846],client.py,spin,126,/rosout,/base_waypoints
1509044730364005130,88895,1509044730363849929,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730397370182,88896,1509044730397183414,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730417065209,88897,1509044730416718725,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressed/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730418885267,88898,1509044730418699617,,2,/record_1509044729293450473,Subscribing to /image_rect/theora,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730420919026,88899,1509044730420762404,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressedDepth/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730422894523,88900,1509044730422746881,,2,/record_1509044729293450473,Subscribing to /image_rect/compressed/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730424748257,88901,1509044730424595919,,2,/record_1509044729293450473,Subscribing to /image_rect/theora/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730426751963,88902,1509044730426600130,,2,/record_1509044729293450473,Subscribing to /twist_cmd,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730428558045,88903,1509044730428438888,,2,/record_1509044729293450473,Subscribing to /image_rect/compressed/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730430464428,88904,1509044730430279582,,2,/record_1509044729293450473,Subscribing to /image_rect_color/theora/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730430844161,88905,1509044730430515840,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
