%time,field.data
1509044729578978485,0.0
1509044729601277434,0.0
1509044729619107680,0.0
1509044729639599668,0.0
1509044729659389930,0.0
1509044729679100639,0.0
1509044729699048689,0.0
1509044729721546935,0.0
1509044729739274430,0.0
1509044729759068764,0.0
1509044729779346955,0.0
1509044729799290484,0.0
1509044729819258999,0.0
1509044729839230800,0.0
1509044729859269542,0.0
1509044729879909543,0.0
1509044729902592137,0.0
1509044729920186577,0.0
1509044729939974680,0.0
1509044729960642712,0.0
1509044729979903902,0.0
1509044730001432642,0.0
1509044730019871212,0.0
1509044730039958110,0.0
1509044730060907670,0.0
1509044730082432307,0.0
1509044730099693064,0.0
1509044730119696458,0.0
1509044730141234466,0.0
1509044730159630443,0.0
1509044730179660156,0.0
1509044730199650780,0.0
1509044730219811515,0.0
1509044730239720683,0.0
1509044730260093884,0.0
1509044730280070200,0.0
1509044730300404851,0.0
1509044730320098760,0.0
1509044730340146329,0.0
1509044730360190241,0.0
1509044730380137168,0.0
1509044730400256815,0.0
1509044730420177109,0.0
1509044730440468226,0.0
1509044730460798290,0.0
1509044730480831756,0.0
1509044730500699811,0.0
1509044730520188432,0.0
1509044730540256177,0.0
1509044730560933166,0.0
1509044730580453655,0.0
1509044730600721280,0.0
1509044730620367322,0.0
1509044730640840475,0.0
1509044730660740773,0.0
1509044730680757872,0.0
1509044730700720396,0.0
1509044730720777593,0.0
1509044730740773922,0.0
1509044730760797096,0.0
1509044730780822102,0.0
1509044730801439595,0.0
1509044730820722054,0.0
1509044730840721298,0.0
1509044730860718341,0.0
1509044730880670154,0.0
1509044730901363695,0.0
1509044730921321970,0.0
1509044730941140928,0.0
1509044730961139323,0.0
1509044730981171465,0.0
1509044731001131105,0.0
1509044731021314728,0.0
1509044731041163281,0.0
1509044731061155049,0.0
1509044731081209954,0.0
1509044731101280702,0.0
1509044731121191966,0.0
1509044731141203742,0.0
1509044731161308574,0.0
1509044731181149851,0.0
1509044731201784186,0.0
1509044731221776231,0.0
1509044731242068779,0.0
1509044731261823574,0.0
1509044731281802522,0.0
1509044731301794147,0.0
1509044731321787765,0.0
1509044731341906523,0.0
1509044731361889938,0.0
1509044731381851326,0.0
1509044731401773261,0.0
1509044731421851145,0.0
1509044731441876649,0.0
1509044731461788945,0.0
1509044731481779336,0.0
1509044731501924049,0.0
1509044731521896796,0.0
1509044731541842136,0.0
1509044731562208917,0.0
1509044731582218962,0.0
1509044731602379220,0.0
1509044731622298260,0.0
1509044731642457238,0.0
1509044731662314636,0.0
1509044731682424589,0.0
1509044731702323758,0.0
1509044731722238406,0.0
1509044731742308779,0.0
1509044731762245956,0.0
1509044731783827520,0.0
1509044731802465264,0.0
1509044731822885701,0.0
1509044731845769291,0.0
1509044731862935502,0.0
1509044731882940170,0.0
1509044731902829714,0.0
1509044731922849275,0.0
1509044731942870021,0.0
1509044731962857586,0.0
1509044731982988335,0.0
1509044732002984752,0.870000004768
1509044732022905962,1.08000004292
1509044732044148982,1.27999997139
1509044732062861052,1.49000000954
1509044732082912706,1.73000001907
1509044732103480399,2.00999999046
1509044732123012614,2.40000009537
1509044732143060145,3.03999996185
1509044732162995949,3.61000013351
1509044732183122598,4.16000032425
1509044732202890306,4.67000007629
1509044732223409579,5.18000030518
1509044732244635236,5.7000002861
1509044732265925353,6.21999979019
1509044732283401604,7.01999998093
1509044732303408303,7.42999982834
1509044732323394584,7.59000015259
1509044732343309905,8.05000019073
1509044732363485681,8.92000007629
1509044732383444492,9.19999980927
1509044732403540344,9.85000038147
1509044732423542047,10.2599992752
1509044732444104868,10.470000267
1509044732463410645,11.1800003052
1509044732483948308,12.6499996185
1509044732503892733,13.0900001526
1509044732523441483,14.3899993896
1509044732543978250,14.75
1509044732564015093,15.7700004578
1509044732584212365,16.3499984741
1509044732604028580,16.7999992371
1509044732623965782,17.1499996185
1509044732644918743,17.3099994659
1509044732664006621,17.8500003815
1509044732684054276,18.0699996948
1509044732703970373,18.1399993896
1509044732723953719,17.140001297
1509044732744043872,16.7100009918
1509044732764132085,14.6300001144
1509044732783998910,13.3299999237
1509044732804129772,12.3600006104
1509044732824018573,11.6899995804
1509044732844544926,11.470000267
1509044732864027279,11.0600004196
1509044732884480543,10.9500007629
1509044732904405564,10.8800001144
1509044732924466396,10.8499994278
1509044732944488025,10.8400001526
1509044732964440361,10.8299999237
1509044732984461833,10.8200006485
1509044733004490620,10.8200006485
1509044733024428452,10.8400001526
1509044733044592603,10.8599996567
1509044733064424143,10.9099998474
1509044733084409217,10.9400005341
1509044733105053445,10.9699993134
1509044733125126135,11.0
1509044733145037580,11.0100002289
1509044733164982394,11.0600004196
1509044733185067658,11.0899991989
1509044733205149737,11.1199998856
1509044733224988354,11.1500005722
1509044733245633642,11.1700000763
1509044733265045751,11.1800003052
1509044733285014862,11.1800003052
1509044733305191588,11.1999998093
1509044733325140817,11.2299995422
1509044733345117257,11.25
1509044733365087357,11.25
1509044733385159235,11.25
1509044733405129313,11.2700004578
1509044733425917614,11.3000001907
1509044733447405703,11.3299999237
1509044733465755511,11.3299999237
1509044733485142876,11.3400001526
1509044733505635302,11.3599996567
1509044733525868022,11.3699998856
1509044733545283971,11.3699998856
1509044733565521898,11.3699998856
1509044733585525825,11.3800001144
1509044733605583607,11.4000005722
1509044733625566134,11.4100008011
1509044733645487332,11.4100008011
1509044733665616983,11.4200000763
1509044733685436826,11.4300003052
1509044733705514221,11.4200000763
1509044733725490350,11.4100008011
1509044733745511583,11.4100008011
1509044733765574638,11.4000005722
1509044733786131217,11.4100008011
1509044733806057997,11.3900003433
1509044733826100847,11.3800001144
1509044733846156670,11.3800001144
1509044733866111135,11.3800001144
1509044733886068283,11.3800001144
1509044733906254171,11.3599996567
1509044733926182405,11.3499994278
1509044733946165738,11.3599996567
1509044733966155692,11.3599996567
1509044733986339191,11.3499994278
1509044734006197890,11.3499994278
1509044734026473690,11.3400001526
1509044734046398285,11.3400001526
1509044734066097109,11.3199996948
1509044734086097936,11.3199996948
1509044734106196020,11.3099994659
1509044734126151617,11.3000001907
1509044734146554260,11.2800006866
1509044734166576783,11.2700004578
1509044734186530329,11.2600002289
1509044734206587978,11.2600002289
1509044734226666696,11.2399997711
1509044734246646211,11.2299995422
1509044734266547153,11.2199993134
1509044734286564790,11.2199993134
1509044734306741069,11.2199993134
1509044734326728398,11.1999998093
1509044734346614734,11.1700000763
1509044734366705152,11.1599998474
1509044734386658272,11.1599998474
1509044734406638882,11.1400003433
1509044734426645943,11.1099996567
1509044734447301105,11.0699996948
1509044734467230135,11.0100002289
1509044734487175714,10.9200000763
1509044734507281262,10.8400001526
1509044734527159753,10.779999733
1509044734547234510,10.7399997711
1509044734569189025,10.7199993134
1509044734589769562,10.6800003052
