%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.id,field.extended,field.dlc
1509044740839030318,230,249,1,0,0,0,0,0,100,0,8
1509044740939530958,212,249,1,0,0,0,0,0,100,0,8
1509044740939542287,126,49,0,1,0,0,0,0,96,0,8
1509044741038908516,208,249,1,0,0,0,0,0,100,0,8
1509044741038917113,247,48,0,1,0,0,0,0,96,0,8
1509044741138912076,207,249,1,0,0,0,0,0,100,0,8
1509044741138938622,180,48,0,1,0,0,0,0,96,0,8
1509044741238895243,71,48,0,1,0,0,0,0,96,0,8
1509044741238901304,224,249,1,0,0,0,0,0,100,0,8
1509044741338995670,238,249,1,0,0,0,0,0,100,0,8
1509044741339001177,3,48,0,1,0,0,0,0,96,0,8
1509044741439024300,18,250,1,0,0,0,0,0,100,0,8
1509044741439055990,133,47,0,1,0,0,0,0,96,0,8
1509044741538966366,41,250,1,0,0,0,0,0,100,0,8
1509044741539062519,29,45,0,1,0,0,0,0,96,0,8
1509044741639041975,15,250,1,0,0,0,0,0,100,0,8
1509044741738860286,100,48,0,1,0,0,0,0,98,0,8
1509044741738940941,34,250,1,0,0,0,0,0,100,0,8
1509044741739095420,102,38,0,1,0,0,0,0,96,0,8
1509044741838932702,141,52,0,1,0,0,0,0,98,0,8
1509044741838935211,39,250,1,0,0,0,0,0,100,0,8
1509044741938955987,69,56,0,1,0,0,0,0,98,0,8
1509044741938958825,35,250,1,0,0,0,0,0,100,0,8
1509044742039028539,82,56,0,1,0,0,0,0,98,0,8
1509044742039049447,33,250,1,0,0,0,0,0,100,0,8
1509044742138880900,139,54,0,1,0,0,0,0,98,0,8
1509044742139058124,17,250,1,0,0,0,0,0,100,0,8
1509044742240448206,133,44,0,1,0,0,0,0,98,0,8
1509044742241218917,246,249,1,0,0,0,0,0,100,0,8
1509044742338889281,62,42,0,1,0,0,0,0,98,0,8
1509044742338896042,201,249,1,0,0,0,0,0,100,0,8
1509044742438933538,158,249,1,0,0,0,0,0,100,0,8
1509044742538947317,134,249,1,0,0,0,0,0,100,0,8
1509044742538992985,193,45,0,1,0,0,0,0,96,0,8
1509044751926683236,0,0,2,0,0,0,0,0,100,0,4
1509044751938885223,204,204,0,1,0,0,0,0,98,0,8
1509044752038871985,204,204,0,1,0,0,0,0,98,0,8
1509044752138852679,204,204,0,1,0,0,0,0,98,0,8
1509044752238986271,204,204,0,1,0,0,0,0,98,0,8
1509044752339256952,204,204,0,1,0,0,0,0,98,0,8
1509044752439063857,204,204,0,1,0,0,0,0,98,0,8
1509044752439068817,42,1,1,0,0,0,0,0,100,0,8
1509044752538860267,204,204,0,1,0,0,0,0,98,0,8
1509044752538866964,135,0,1,0,0,0,0,0,100,0,8
1509044752638954706,204,204,0,1,0,0,0,0,98,0,8
1509044752638980998,104,1,1,0,0,0,0,0,100,0,8
1509044752738908625,204,204,0,1,0,0,0,0,98,0,8
1509044752739040563,151,1,1,0,0,0,0,0,100,0,8
1509044752839043878,204,204,0,1,0,0,0,0,98,0,8
1509044752839117321,206,1,1,0,0,0,0,0,100,0,8
1509044752939313829,204,204,0,1,0,0,0,0,98,0,8
1509044752939315799,8,2,1,0,0,0,0,0,100,0,8
1509044753038838233,87,2,1,0,0,0,0,0,100,0,8
1509044753038921175,108,47,0,1,0,0,0,0,96,0,8
1509044753140345810,190,1,1,0,0,0,0,0,100,0,8
1509044753140349878,17,51,0,1,0,0,0,0,96,0,8
1509044753239692997,128,1,1,0,0,0,0,0,100,0,8
1509044753239699717,80,53,0,1,0,0,0,0,96,0,8
1509044753339065534,182,0,1,0,0,0,0,0,100,0,8
1509044753339068280,114,53,0,1,0,0,0,0,96,0,8
1509044753439128454,96,0,1,0,0,0,0,0,100,0,8
1509044753439237523,129,53,0,1,0,0,0,0,96,0,8
1509044753538956893,134,253,1,0,0,0,0,0,100,0,8
1509044753538959200,137,53,0,1,0,0,0,0,96,0,8
1509044753639070357,125,254,1,0,0,0,0,0,100,0,8
1509044753639074210,142,53,0,1,0,0,0,0,96,0,8
1509044753738994659,77,252,1,0,0,0,0,0,100,0,8
1509044753739000022,143,53,0,1,0,0,0,0,96,0,8
1509044753838950580,97,253,1,0,0,0,0,0,100,0,8
1509044753838994144,140,53,0,1,0,0,0,0,96,0,8
1509044753938915164,138,53,0,1,0,0,0,0,96,0,8
1509044753939029037,117,251,1,0,0,0,0,0,100,0,8
1509044754039010732,34,251,1,0,0,0,0,0,100,0,8
1509044754039014823,135,53,0,1,0,0,0,0,96,0,8
1509044754138961789,24,253,1,0,0,0,0,0,100,0,8
1509044754138966317,132,53,0,1,0,0,0,0,96,0,8
1509044754240421587,150,250,1,0,0,0,0,0,100,0,8
1509044754240434526,128,53,0,1,0,0,0,0,96,0,8
1509044754338985399,125,53,0,1,0,0,0,0,96,0,8
1509044754338992267,129,252,1,0,0,0,0,0,100,0,8
1509044754439041578,26,250,1,0,0,0,0,0,100,0,8
1509044754439047390,119,53,0,1,0,0,0,0,96,0,8
1509044754539007319,115,53,0,1,0,0,0,0,96,0,8
1509044754539108300,1,250,1,0,0,0,0,0,100,0,8
1509044754638950982,111,53,0,1,0,0,0,0,96,0,8
1509044754638953067,219,249,1,0,0,0,0,0,100,0,8
1509044754738894297,4,252,1,0,0,0,0,0,100,0,8
1509044754738948550,106,53,0,1,0,0,0,0,96,0,8
1509044754838957513,103,53,0,1,0,0,0,0,96,0,8
1509044754838962469,171,249,1,0,0,0,0,0,100,0,8
1509044754938928080,168,249,1,0,0,0,0,0,100,0,8
1509044754939027538,97,53,0,1,0,0,0,0,96,0,8
1509044755039029496,151,249,1,0,0,0,0,0,100,0,8
1509044755039033526,94,53,0,1,0,0,0,0,96,0,8
1509044755138898006,140,249,1,0,0,0,0,0,100,0,8
1509044755138996924,89,53,0,1,0,0,0,0,96,0,8
1509044755238981387,164,249,1,0,0,0,0,0,100,0,8
1509044755238984275,83,53,0,1,0,0,0,0,96,0,8
1509044755338925676,134,249,1,0,0,0,0,0,100,0,8
1509044755339051791,82,53,0,1,0,0,0,0,96,0,8
1509044755441871927,5,250,1,0,0,0,0,0,100,0,8
1509044755442012487,79,53,0,1,0,0,0,0,96,0,8
