%time,field.data
1509044729651708720,8.63300037384
1509044729755570866,7.64499998093
1509044729862132915,8.15400028229
1509044729970287766,10.5860004425
1509044730070453086,7.42600011826
1509044730173899344,6.86000013351
1509044730276124527,4.6779999733
1509044730382040195,5.08599996567
1509044730489044304,6.82499980927
1509044730591145767,5.36499977112
1509044730698446048,7.30399990082
1509044730802553935,5.4279999733
1509044730905076887,4.492000103
1509044731009710477,4.38700008392
1509044731115552378,4.75299978256
1509044731219310824,4.24300003052
1509044731327564823,7.54199981689
1509044731428544165,4.22800016403
1509044731533954778,4.39300012589
1509044731643381418,8.4139995575
1509044731745691062,6.57899999619
1509044731852028685,6.90000009537
1509044731955314750,6.63999986649
1509044732060940377,7.03700017929
1509044732166902290,6.39599990845
1509044732269240930,6.01200008392
1509044732372425997,4.40899991989
1509044732479556213,6.52199983597
1509044732584142298,5.27899980545
1509044732687054124,4.47200012207
1509044732793624641,5.82499980927
1509044732898411878,6.01999998093
1509044733006183087,9.00100040436
1509044733106810695,4.77899980545
1509044733211458829,4.59499979019
1509044733317104059,4.76800012589
1509044733426776489,7.76200008392
1509044733530914991,9.25500011444
1509044733632339751,6.04099988937
1509044733738372027,6.63999986649
1509044733840392394,4.67899990082
1509044733948327038,7.16699981689
1509044734055471213,9.1829996109
1509044734156092304,5.8860001564
1509044734262498212,6.71299982071
1509044734366416294,6.31599998474
1509044734469876498,4.57600021362
1509044734575687572,5.20900011063
1509044734682192311,7.32100009918
1509044734788831922,7.82700014114
1509044734891773670,6.76300001144
1509044734998762593,8.11400032043
1509044735100375073,5.78700017929
1509044735209407806,8.94999980927
1509044735316194053,10.7939996719
1509044735414967067,5.89099979401
1509044735522657247,7.06500005722
1509044735623389870,5.12099981308
1509044735728169200,4.91900014877
1509044735834261036,6.40799999237
1509044735943234004,10.123000145
1509044736043277157,5.7389998436
1509044736148065455,5.54199981689
1509044736254188520,6.14200019836
1509044736357189917,4.98600006104
1509044736462373281,5.32700014114
1509044736569492049,6.92100000381
1509044736672879257,5.29099988937
1509044736778172277,5.96500015259
1509044736882802787,6.32899999619
1509044736987646878,5.69199991226
1509044737092284535,5.97100019455
1509044737202729945,10.5780000687
1509044737304369014,7.97800016403
1509044737406642361,5.45100021362
1509044737513556342,7.76599979401
1509044737615373674,5.17000007629
1509044737720300018,5.11299991608
1509044737828464270,8.32699966431
1509044737930470256,5.45399999619
1509044738034816969,5.2389998436
1509044738139827058,5.35799980164
1509044738246594317,7.13100004196
1509044738349388551,5.18400001526
1509044738459066597,8.88300037384
1509044738561039384,6.97800016403
1509044738667575996,8.05300045013
1509044738769435793,5.3639998436
1509044738875869535,7.45300006866
1509044738983554018,10.1280002594
1509044739084017918,5.60900020599
1509044739189183559,5.3109998703
1509044739294304187,6.12300014496
1509044739401328657,8.44499969482
1509044739505117927,7.36800003052
1509044739609477745,6.90899991989
1509044739718886109,11.5640001297
1509044739820146348,7.66499996185
1509044739923192521,5.84700012207
1509044740029791725,8.04899978638
1509044740132384354,5.78900003433
1509044740239187707,7.59800004959
1509044740346121430,9.48499965668
1509044740448187675,7.18300008774
1509044740553933978,8.14799976349
1509044740658786897,8.0389995575
1509044740765561097,8.58699989319
1509044740868657716,7.85900020599
1509044740972714307,6.41200017929
1509044741077834858,7.58199977875
1509044741182361740,7.25699996948
1509044741285858899,5.83599996567
1509044741392527339,7.65299987793
1509044741496174034,6.15100002289
1509044741606510012,11.3529996872
1509044741706868327,7.39599990845
1509044741810194731,5.63100004196
1509044741917317827,7.93699979782
1509044742019260806,5.5720000267
1509044742124704952,5.42000007629
