%time,field.waypoint,field.index,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.state
1509044736819636141,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044736877226714,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044736929616855,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044736984296931,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737036775791,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737087189794,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737138829957,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737188200439,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737246614022,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737296007570,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737346841036,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737397163647,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737449170562,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737499726861,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737549059270,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737599271784,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737649316844,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737701008353,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737750535803,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737799673683,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737849600435,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737901612007,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044737951774667,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738004362573,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738055070593,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738105446892,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738160176877,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738211034990,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738261274423,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738309611768,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738366387457,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738428812521,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738496286560,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738563286446,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
1509044738630267560,47,0,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,0
